info_manteqa,minority_rep,idp_now,manteqa_leadership,com_group_ag,com_group_wash,com_group_edu,com_group_health,com_group_finance,com_group_women,com_group_youth,com_group_civ_soc,former_sector,new_sector,job_needed,unemployed,financial_services,women_outside,women_barriers,women_business,women_challenge,financial_services_equal,work_migration,migrant_work,migrant_jobs,production_non_ag,export_non_ag,import_non_ag,trend_non_ag,export_ag,import_ag,trend_ag,production_livestock,export_livestock,import_livestock,trend_livestock,markets_present,markets_other_manteqa,market_access,markets_marginal_access,trade_markets_in,trade_markets_in_access,voc_women,voc_men,public_transit,edu_access,health_access,water_knowledge,water_repair,water_tools,water_staff,water_fee,attendance_boys,attendance_girls,edu_marginal_access,health_access_equal,enough_water,hc_remain_perc,nomads,idp_perc,market_barrier,market_access_why,trade_markets_in_access_why,goods_access,market_seasonality,market_goods,men_iliterate,men_primary,men_secondary,women_iliterate,women_primary,women_secondary,transit_sufficient,public_transit_challenge_type,drinking_water,cleaning_water,enough_water_why,water_mgmt,edu_access_why,health_access_why,edu_teachers,edu_books,edu_training,edu_supplies,edu_sanitation,attendance_boys_perc,attendance_boys_why,attendance_girls_perc,attendance_girls_why,health_staff,health_training,health_tools,health_medication,health_water,water_access_equal,refugee_return_now,manteqa_leadership_type,minority_rep_type,com_group_ag_type,com_group_wash_type,com_group_edu_type,com_group_health_type,com_group_finance_type,com_group_civ_soc_type,com_group_civ_soc_sup,info_language,econ_sector,former_sector_type,new_sector_type,job_needed_sector,unemployed_why,financial_services_type,women_barriers_type,women_business_sector,women_challenge_type,financial_services_women,work_migration_who,production_non_ag_type,export_non_ag_type,import_non_ag_type,trend_non_ag_type,production_ag,production_ag_type,export_ag_type,import_ag_type,trend_ag_type,production_animals,production_livestock_type,export_livestock_type,import_livestock_type,trend_livestock_type,markets_marginal_access_who,goods_access_why,good_types,voc_women_avail,voc_men_avail,voc_train_who,voc_women_need,voc_men_need,edu_type,edu_infrastructure,health_services,edu_source,water_access_marginal,edu_marginal_access_who,health_access_marginal,school_fee_cost,textbook_cost,uniforms_cost,health_cost,transit_cost,water_fee_amt
chelgazi,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,NA,no,yes,no,yes,yes,NA,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,NA,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,less_half,yes,less_half,NA,NA,dangerous,yes,yes,yes,less_half,less_half,less_half,less_half,less_half,less_half,yes,cost_too_high,handpump,"handpump, open_water",drought,mirab,insecurity,NA,no,no,no,no,no,less_half,no_money,more_half,no_money,no,no,no,no,yes,no,yes no,malim quarya_dar shura arbab mullah mirab,youth women,ag_coop farmer_group,water_user_assoc irrigation,,chw_m chw_f widwife shura,community_based_savings,socio_cultural education agriculture,youth women,dari pashto uzbek,agriculture sales transport handicrafts,,,handicrafts services social_services agriculture manufacturing sales,,community_savings,,,not_allowed no_knowledge no_money,none community_savings,young_men adult_men,wood sheep_skin carpets handicrafts,wood sheep_skin carpets handicrafts,handicrafts sheep_skin wood carpets silk,,yes,wheat grain nuts fruits vegetables beans opium roots tobacco,nuts fruits vegetables beans opium wheat roots grain,wheat grain rice cotton tobacco nuts fruits vegetables beans roots herbs opium,,sheep goats chickens cows,hh_consumption milk_eggs meat_sold labour fertilizer,milk_eggs meat_sold labour,hh_consumption milk_eggs meat_sold fertilizer labour,,women disabled,quality_items_notsufficent,,,agriculture artisanship teacher cosmetics healthcare religious,government ingo training_centre,artisanship cosmetics healthcare teacher religious language agriculture business it,business cosmetics healthcare teacher agriculture language religious it artisanship,government madrasa,tent building,outpatient dental,national_gov ingo,women disabled,women disabled,,NA,NA,NA,175,NA,NA
dara-e-boraghan,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,NA,NA,NA,yes,yes,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,less_half,yes,less_half,market_destroyed,NA,other,NA,NA,NA,less_half,less_half,less_half,none,none,none,NA,NA,open_water,"open_water, spring",drought,mirab,NA,NA,no,no,no,no,no,"less_half, more_half","need_to_work, no_money","more_half, none","girls_cant_attend, no_money",no,no,no,no,yes,no,no yes,malim quarya_dar shura arbab mullah mirab,youth,ag_coop,water_user_group irrigation,,chw_m widwife shura chw_f,village_savings community_based_savings,,,dari uzbek,agriculture handicrafts,,,handicrafts manufacturing services,too_few_jobs,village_savings community_savings,women_danger,,not_allowed,none village_savings community_savings,young_men adult_men,wood sheep_skin carpets handicrafts,wood sheep_skin carpets handicrafts,wood carpets handicrafts silk,silk,yes,wheat grain fruits roots vegetables opium tobacco nuts,fruits roots vegetables grain opium wheat tobacco nuts,wheat rice cotton tobacco nuts beans herbs grain,cotton opium,cows sheep goats chickens,hh_consumption milk_eggs meat_sold labour,milk_eggs meat_sold labour,hh_consumption milk_eggs meat_sold labour fertilizer,,,,,artisanship cosmetics healthcare teacher language religious,,government ingo training_centre,artisanship cosmetics healthcare teacher language religious,agriculture business artisanship cosmetics healthcare teacher language religious it,government madrasa,tent,outpatient,national_gov,,women disabled,,0,1550,NA,75,NA,NA
deh_naw,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,NA,no,yes,no,yes,no,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,NA,NA,NA,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,less_half,no,less_half,dangerous,NA,NA,NA,NA,NA,less_half,less_half,less_half,less_half,less_half,less_half,yes,insecurity,handpump,handpump,drought,mirab,NA,NA,yes,no,yes,no,no,less_half,insecurity,less_half,insecurity,yes,yes,yes,no,yes,no,no yes,arbab mullah shura,youth,ag_coop,,self_help pta,chw_f widwife,sarafi_hawala community_based_savings,agriculture wash,youth minorities,dari uzbek,agriculture handicrafts public_administration sales,agriculture handicrafts services public_administration social_services sales,,handicrafts communications services transport social_services agriculture manufacturing,too_few_jobs,sarafi_hawala community_savings,,,not_allowed,sarafi_hawala community_savings none,young_men adult_men,sheep_skin wood silk handicrafts,sheep_skin wood,silk handicrafts wood carpets,carpets,yes,wheat grain fruits roots vegetables beans nuts herbs,grain fruits roots vegetables beans,wheat rice nuts beans cotton tobacco,cotton,cows sheep goats chickens,hh_consumption milk_eggs meat_sold,,milk_eggs fertilizer hh_consumption,,,,,,,,agriculture business it artisanship healthcare teacher religious,agriculture business it healthcare teacher religious artisanship,government madrasa,building,outpatient,national_gov local_gov,,,ethnic_discrimination disabled,0,1975,NA,106.25,512.5,NA
emam_sahib,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,NA,no,yes,no,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,less_half,no,less_half,difficult_journey,NA,"not_wanted, too_expensive",no,yes,yes,less_half,more_half,less_half,less_half,less_half,less_half,yes,NA,borehole,water_pool,"drought, overwhelmed",mirab,NA,NA,yes,no,yes,yes,no,less_half,no_money,less_half,no_money,yes,yes,yes,yes,yes,no,yes no,shura arbab mullah,youth,ag_coop breeder_coop,water_user_assoc water_user_group,school_mgmt_committees,chw_f chw_m widwife,community_based_savings sarafi_hawala village_savings,socio_cultural health wash education agriculture legal womens_rights,youth,dari uzbek pashto,agriculture handicrafts transport communications services,handicrafts other agriculture,agriculture handicrafts,services handicrafts communications manufacturing social_services agriculture,too_few_jobs,community_savings sarafi_hawala other village_savings microfinance,,,not_allowed no_knowledge,community_savings none village_savings microfinance,young_men adult_men,carpets silk wood handicrafts,carpets silk wood handicrafts,wood carpets handicrafts,carpets handicrafts sheep_skin silk,yes,wheat grain nuts fruits roots vegetables beans rice cotton tobacco herbs,grain fruits roots vegetables wheat beans,rice tobacco opium wheat cotton grain nuts fruits roots vegetables beans herbs,nuts rice cotton,cows sheep chickens goats,milk_eggs meat_sold hh_consumption,milk_eggs meat_sold,fertilizer hh_consumption milk_eggs meat_sold labour,milk_eggs,disabled,items_expensive,,artisanship,,ingo,it healthcare artisanship language religious business,it artisanship business agriculture,government madrasa,building,other outpatient eyes,national_gov mosque local_gov,disabled,women,women ethnic_discrimination,0,NA,NA,33.333333333333336,NA,NA
feroz_nakhcheer,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,yes,NA,yes,no,yes,yes,no,yes,yes,yes,no,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,no,none,no,less_half,NA,NA,NA,yes,yes,yes,half,half,less_half,less_half,less_half,less_half,yes,NA,handpump,handpump,drought,no_mgmt,NA,NA,yes,yes,yes,yes,yes,less_half,no_money,less_half,"girls_cant_attend, no_money",yes,yes,no,no,yes,no,no yes,arbab mullah shura quarya_dar mirab malim,minorities youth women,ag_coop farmer_group,water_user_assoc irrigation water_sanit water_user_group,pta self_help school_mgmt_committees other,shura chw_m widwife chw_f,village_savings community_based_savings,socio_cultural health wash agriculture education,youth women minorities,dari pashto uzbek,agriculture handicrafts sales transport social_services,,handicrafts,communications sales services handicrafts social_services,too_few_jobs,microfinance village_savings community_savings,no_skills no_education,handicrafts,not_allowed no_money,microfinance village_savings wba none,young_men adult_men,wood sheep_skin,,wood carpets handicrafts,,no yes,wheat grain tobacco fruits roots cotton vegetables beans herbs nuts,fruits wheat grain nuts roots,wheat grain rice cotton tobacco nuts fruits roots vegetables beans,,cows sheep goats chickens,hh_consumption milk_eggs meat_sold labour,meat_sold hh_consumption milk_eggs,hh_consumption milk_eggs meat_sold labour fertilizer,,women men,items_expensive,vegetables jewlery,agriculture business artisanship cosmetics healthcare,agriculture business teacher,int_donors government ingo cso,agriculture artisanship business healthcare teacher language religious it cosmetics,agriculture artisanship cosmetics healthcare business it teacher language,government cbe madrasa,building,outpatient inpatient tb malaria,national_gov ingo local_gov,,disabled women,,0,714.2857142857143,NA,45.714285714285715,NA,NA
gelem_baf,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,NA,no,yes,no,yes,no,NA,no,NA,yes,yes,no,yes,no,yes,no,yes,yes,no,yes,NA,NA,NA,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,less_half,no,less_half,never_market,NA,NA,NA,NA,NA,more_half,more_half,less_half,none,none,none,yes,NA,spring,spring,too_far,mirab,NA,NA,yes,no,yes,no,no,more_half,need_to_work,less_half,girls_cant_attend,no,no,no,no,no,no,no,mullah other,,,,,,,,,dari uzbek,agriculture handicrafts communications manufacturing,handicrafts,,agriculture handicrafts manufacturing communications sales services,,,,,not_allowed can_not_travel,none,young_men adult_men,,,carpets,carpets handicrafts sheep_skin silk,yes,wheat grain nuts fruits roots vegetables tobacco herbs beans opium,,rice cotton beans fruits other,,cows sheep goats,meat_sold,,hh_consumption milk_eggs fertilizer,labour,,,,,,,artisanship teacher language it,agriculture business it,government,tent,outpatient malaria,national_gov,,,ethnic_discrimination,0,200,816.6666666666666,0,1000,NA
gorimar,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,NA,NA,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,"less_half, none",no,less_half,too_far,NA,too_far,NA,NA,NA,half,half,less_half,less_half,less_half,less_half,yes,cost_too_high,borehole,borehole,drought,mirab,NA,no_staff,No,no,no,no,no,less_half,no_money,less_half,no_money,no,no,no,no,yes,no,no yes,arbab mullah shura chakbashi mirab malim,women youth minorities idps,ag_coop,water_user_assoc water_user_group irrigation water_sanit,self_help pta school_mgmt_committees,chw_f shura widwife chw_m,community_based_savings sarafi_hawala women_BA,socio_cultural development health wash education shelter_nfi legal womens_rights,youth women,dari pashto uzbek,agriculture handicrafts manufacturing sales transport social_services,handicrafts services social_services,handicrafts,manufacturing communications agriculture handicrafts services public_administration social_services,no_skills too_few_jobs,community_savings sarafi_hawala wba,few_jobs no_skills no_education,handicrafts,no_money women_punished,wba none community_savings,adult_men young_men older_boys older_girls,carpets handicrafts,carpets handicrafts,wood carpets handicrafts,sheep_skin,yes no,wheat grain fruits vegetables roots cotton nuts,wheat,wheat grain rice tobacco roots vegetables beans cotton nuts fruits herbs,cotton tobacco,cows sheep goats chickens,hh_consumption milk_eggs meat_sold fertilizer labour,milk_eggs meat_sold hh_consumption,hh_consumption milk_eggs meat_sold,hh_consumption,,,,artisanship language healthcare cosmetics agriculture,artisanship,government ingo,artisanship cosmetics healthcare teacher agriculture business language it religious,it teacher agriculture business healthcare language religious other cosmetics artisanship,government madrasa cbe,building,outpatient inpatient other,local_gov national_gov mosque ingo nngo,disabled,women men,ethnic_discrimination,0,NA,NA,NA,NA,NA
jalayeer,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,NA,no,no,no,yes,no,NA,yes,yes,yes,no,NA,yes,no,yes,yes,yes,no,no,yes,NA,NA,NA,yes,no,no,no,no,no,no,no,no,no,yes,NA,NA,NA,NA,no,less_half,yes,less_half,never_market,NA,other,NA,NA,NA,none,less_half,none,none,none,none,NA,NA,other,other,overwhelmed,no_mgmt,insecurity,too_far,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no yes,arbab quarya_dar shura mullah,,,,,,,,,pashto dari,agriculture handicrafts,,,agriculture communications services,no_education,,,,,none,young_men adult_men,handicrafts sheep_skin silk,sheep_skin silk,wood carpets silk,,yes no,wheat grain,,wheat grain rice cotton fruits vegetables beans,,cows sheep goats chickens,milk_eggs meat_sold,milk_eggs meat_sold,milk_eggs meat_sold labour,,,,,,,,business artisanship cosmetics healthcare teacher it,business it artisanship cosmetics healthcare teacher agriculture,,,,,,,,NA,NA,NA,NA,NA,1733.3333333333333
kanda_baghat,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,no,yes,yes,yes,yes,NA,yes,NA,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,NA,NA,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,no,less_half,no,less_half,dontknow,NA,too_expensive,NA,NA,NA,less_half,less_half,less_half,less_half,less_half,less_half,yes,NA,open_water,open_water,drought,mirab,NA,too_far,yes,yes,yes,yes,no,half,no_money,"half, more_half",no_money,No,yes,No,yes,No,yes,no,arbab mirab malim shura quarya_dar,women youth,other,water_sanit,self_help,shura chw_m chw_f widwife,other,agriculture,youth women,dari uzbek pashto,agriculture handicrafts sales public_administration transport,handicrafts,handicrafts agriculture transport,agriculture handicrafts public_administration,too_few_jobs,other,,,women_punished,,older_boys young_men adult_men,handicrafts,,wood carpets handicrafts,,no yes,wheat grain cotton fruits vegetables,fruits,wheat fruits roots vegetables rice beans nuts,beans,cows sheep goats chickens,hh_consumption milk_eggs fertilizer,hh_consumption milk_eggs,hh_consumption milk_eggs meat_sold,,,,,teacher language artisanship cosmetics,religious,government ingo,artisanship agriculture cosmetics healthcare,artisanship language agriculture healthcare,government madrasa,building,outpatient,national_gov,disabled women,women disabled youth,,0,570,640,NA,16,NA
kata_qala,NA,no,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,yes,no,no,NA,no,yes,no,yes,no,NA,yes,NA,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,NA,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,NA,yes,NA,no,no,less_half,no,NA,NA,NA,NA,no,yes,yes,less_half,more_half,less_half,less_half,less_half,less_half,yes,bad_road,open_water,open_water,too_far,mirab,insecurity,NA,yes,no,yes,no,no,NA,NA,less_half,girls_cant_attend,yes,yes,no,no,no,no,yes no,shura arbab mullah mirab,,farmer_group,water_user_assoc water_user_group,,chw_m chw_f,community_based_savings,,,dari pashto uzbek,transport agriculture handicrafts services,agriculture handicrafts,,handicrafts communications services manufacturing,too_few_jobs,community_savings,,,not_allowed can_not_travel,none community_savings,young_men adult_men older_boys,handicrafts,,wood carpets handicrafts,handicrafts sheep_skin silk carpets,yes,wheat grain fruits beans roots vegetables nuts herbs,,rice grain cotton tobacco fruits beans herbs,rice cotton tobacco fruits beans opium,cows sheep goats chickens,milk_eggs meat_sold hh_consumption fertilizer other,milk_eggs,hh_consumption fertilizer milk_eggs meat_sold labour,hh_consumption milk_eggs labour,,items_expensive,vegetables fuel jewlery livestock tobacco textiles,,,,it artisanship healthcare teacher language business cosmetics,it artisanship healthcare agriculture business teacher cosmetics language,government,building,other outpatient malaria,national_gov,,,,NA,NA,NA,0,224.44444444444446,NA
khanaqa,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,yes,yes,yes,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,NA,NA,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,less_half,no,less_half,never_market,NA,too_far,NA,NA,NA,less_half,less_half,less_half,less_half,less_half,less_half,yes,NA,water_pool,open_water,part_time,mirab,no_resources,NA,No,no,yes,yes,no,less_half,"need_to_work, no_money",less_half,girls_cant_attend,yes,yes,No,no,No,no,yes,mullah mirab malim quarya_dar shura arbab chakbashi,women youth idps minorities,farmer_group ag_coop,water_user_assoc water_user_group,school_mgmt_committees pta,chw_m chw_f widwife shura,community_based_savings other village_savings,health wash education agriculture socio_cultural,youth women minorities,dari pashto uzbek turkmen,agriculture handicrafts services social_services transport,handicrafts transport,agriculture other,agriculture handicrafts public_administration services communications sales other manufacturing,no_credit too_few_jobs,community_savings other village_savings,,handicrafts,not_allowed no_skills,community_savings none village_savings,young_men young_women adult_men adult_women,carpets handicrafts sheep_skin,carpets handicrafts sheep_skin,wood handicrafts silk carpets sheep_skin,sheep_skin silk,yes,wheat grain rice cotton nuts fruits roots vegetables herbs tobacco beans opium,wheat grain fruits cotton nuts tobacco roots beans vegetables,wheat rice tobacco nuts fruits roots beans opium cotton herbs vegetables other,opium grain tobacco nuts beans herbs,cows sheep goats chickens other,hh_consumption milk_eggs meat_sold labour fertilizer,meat_sold hh_consumption milk_eggs labour fertilizer,hh_consumption milk_eggs meat_sold fertilizer labour,,,,,agriculture artisanship teacher,agriculture artisanship teacher,ingo,agriculture business it artisanship cosmetics healthcare language religious,agriculture it artisanship cosmetics teacher language religious business healthcare,government cbe madrasa,building,outpatient tb malaria other,national_gov,women,women,disabled women,NA,NA,NA,62.5,NA,NA
khancharbagh,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,NA,no,yes,no,yes,no,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,NA,NA,NA,yes,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,none,no,less_half,difficult_journey,NA,not_wanted,NA,NA,NA,less_half,more_half,less_half,less_half,less_half,less_half,yes,cost_too_high,handpump,handpump,drought,no_mgmt,NA,NA,yes,no,yes,yes,no,less_half,need_to_work,less_half,no_money,no,yes,no,no,no,no,no,quarya_dar shura malim arbab,women youth,ag_coop,,pta school_mgmt_committees,widwife chw_f,community_based_savings,socio_cultural agriculture womens_rights,youth women minorities,uzbek turkmen,agriculture handicrafts transport,,handicrafts,manufacturing communications sales handicrafts services agriculture,too_few_jobs minorities,microfinance community_savings,,,not_allowed no_knowledge no_money,microfinance community_savings none,young_men adult_men,carpets handicrafts sheep_skin wood,carpets,handicrafts silk wood sheep_skin,carpets handicrafts sheep_skin,no yes,wheat grain roots herbs fruits,wheat grain fruits,rice cotton nuts fruits roots vegetables beans herbs,fruits roots wheat grain,cows sheep goats chickens,milk_eggs meat_sold labour hh_consumption fertilizer,milk_eggs meat_sold,hh_consumption labour fertilizer milk_eggs meat_sold,hh_consumption,,,,,,,it artisanship cosmetics healthcare teacher language religious,agriculture it healthcare teacher business language religious,government,building,outpatient,national_gov,women,women men,,0,2000,2500,142.85714285714286,NA,NA
khuram,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,NA,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,none,no,none,too_far,NA,too_expensive,yes,yes,yes,less_half,less_half,less_half,less_half,less_half,less_half,yes,NA,spring,spring,NA,no_mgmt,too_cold,NA,yes,yes,yes,yes,yes,less_half,no_money,less_half,no_money,yes,yes,yes,yes,yes,no,no,arbab,minorities youth women,ag_coop,water_user_assoc water_user_group irrigation water_sanit,pta self_help,chw_m chw_f,sarafi_hawala community_based_savings,,,dari,agriculture handicrafts services sales social_services public_administration transport,,,,,sarafi_hawala microfinance community_savings,no_skills no_education,agriculture handicrafts,no_money,none sarafi_hawala microfinance community_savings,,wood,wood,handicrafts,,no yes,wheat grain tobacco nuts fruits roots vegetables herbs,wheat grain tobacco nuts fruits roots vegetables herbs,wheat grain rice cotton beans tobacco,,cows sheep goats chickens,hh_consumption milk_eggs meat_sold labour,hh_consumption milk_eggs meat_sold labour,hh_consumption milk_eggs meat_sold labour,,women,items_expensive,vegetables fuel,artisanship,,government,agriculture business artisanship cosmetics healthcare,agriculture artisanship business teacher,government madrasa,building,outpatient,national_gov,,women,women,NA,NA,NA,0,NA,NA
khwaja_du_koh,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,less_half,yes,less_half,never_market,NA,dangerous,yes,yes,yes,less_half,less_half,less_half,less_half,less_half,less_half,yes,cost_too_high,open_water,open_water,part_time,mirab,no_resources,NA,No,no,No,No,no,less_half,no_money,less_half,no_money,no,yes,no,no,yes,no,yes no,mullah mirab malim quarya_dar shura arbab chakbashi,women minorities idps youth,ag_coop farmer_group value_chain other,water_user_assoc water_user_group irrigation water_sanit,school_mgmt_committees pta self_help other,chw_m chw_f widwife shura other,village_savings community_based_savings,socio_cultural wash agriculture health education,youth minorities women other,dari pashto uzbek turkmen,agriculture handicrafts public_administration sales transport,services other handicrafts agriculture,communications sales services agriculture handicrafts,agriculture handicrafts manufacturing communications sales social_services services public_administration,no_land too_few_jobs no_education no_credit,village_savings community_savings,few_jobs,handicrafts,no_money can_not_travel no_skills,village_savings community_savings none,young_men young_women older_boys adult_men,carpets handicrafts sheep_skin silk,carpets handicrafts sheep_skin,wood handicrafts carpets silk sheep_skin other,silk,yes no,wheat grain cotton fruits nuts opium,wheat grain fruits nuts cotton,rice cotton tobacco nuts fruits roots beans herbs wheat vegetables opium grain,nuts opium,cows sheep goats chickens other,hh_consumption milk_eggs meat_sold labour fertilizer,hh_consumption milk_eggs meat_sold labour fertilizer,hh_consumption milk_eggs fertilizer meat_sold labour,,women disabled,dontknow,vegetables fuel livestock textiles jewlery,agriculture artisanship language teacher healthcare,agriculture artisanship language teacher healthcare religious business it,ingo training_centre government,agriculture artisanship healthcare business it cosmetics language religious teacher,agriculture business it artisanship cosmetics healthcare teacher language religious,government cbe madrasa no_school,building home,outpatient malaria hiv inpatient surgery tb other,national_gov nngo,women men ethnic_discrimination disabled youth,women men disabled,disabled women men,NA,NA,NA,105.55555555555556,144.44444444444446,NA
khwaja_gawhar,no,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,no,NA,no,yes,no,yes,no,NA,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,NA,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,NA,no,no,less_half,yes,less_half,NA,NA,NA,yes,yes,yes,less_half,less_half,less_half,less_half,less_half,less_half,no,bad_road,handpump,handpump,overwhelmed,no_mgmt,NA,NA,yes,yes,no,no,no,more_half,no_money,more_half,no_money,yes,yes,no,no,no,no,yes,arbab quarya_dar shura,,,water_sanit,,chw_m chw_f,,,,dari pashto uzbek arabic,agriculture handicrafts transport,,agriculture manufacturing communications sales services,handicrafts manufacturing services communications sales,too_few_jobs no_credit,,,,not_allowed,none,young_men adult_men,carpets sheep_skin,sheep_skin,wood carpets handicrafts silk sheep_skin,sheep_skin silk,yes,wheat grain fruits opium,wheat grain fruits opium,rice nuts beans roots,,sheep goats cows chickens,meat_sold labour milk_eggs hh_consumption,meat_sold labour milk_eggs hh_consumption,hh_consumption milk_eggs fertilizer meat_sold labour,,,no_means_payment,,,,,artisanship teacher language religious it healthcare cosmetics,agriculture business it artisanship healthcare teacher language religious,government,building,outpatient,national_gov local_gov,,,,NA,NA,NA,43.75,NA,NA
khwaja_musa,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,yes,NA,yes,yes,no,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,less_half,no,"dontknow, less_half",market_destroyed,NA,too_far,no,yes,yes,less_half,less_half,less_half,less_half,less_half,less_half,yes,NA,handpump,open_water,drought,mirab,NA,NA,yes,yes,yes,yes,yes,less_half,no_money,less_half,no_money,yes,yes,yes,yes,yes,no,yes no,shura arbab mullah mirab,,ag_coop breeder_coop,water_user_assoc water_user_group irrigation water_sanit,self_help,chw_m chw_f widwife shura,community_based_savings village_savings,,,dari pashto uzbek arabic,agriculture handicrafts transport services,handicrafts,handicrafts manufacturing services agriculture other,handicrafts manufacturing communications services social_services sales agriculture transport,,community_savings village_savings,,agriculture handicrafts sales,not_allowed can_not_travel,community_savings village_savings,young_men adult_men older_boys young_women,carpets handicrafts sheep_skin,carpets sheep_skin,wood carpets handicrafts sheep_skin,handicrafts sheep_skin carpets silk wood,yes,wheat grain nuts fruits roots vegetables herbs beans cotton,wheat grain fruits nuts,rice cotton tobacco nuts beans,cotton tobacco beans nuts fruits herbs opium,cows sheep goats chickens,milk_eggs meat_sold labour,milk_eggs labour,hh_consumption fertilizer milk_eggs meat_sold,milk_eggs labour,,items_expensive,,artisanship,agriculture artisanship teacher language,ingo government,business it artisanship agriculture religious language,business it artisanship agriculture healthcare,government madrasa,building,other outpatient,national_gov,,ethnic_discrimination women disabled,ethnic_discrimination women disabled,0,1245.4545454545455,1290.909090909091,0,NA,NA
